column_index,column_name,column_role,feature_block,dtype,unit,description,source,missing_value_encoding,missing_count,missing_fraction,selected_final_D_tabular,selected_final_D_xgboost,selected_final_P_lightgbm
54,cheap__v3__geom_npr1,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_npr1,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
55,cheap__v3__geom_npr2,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_npr2,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
56,cheap__v3__geom_asphericity,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_asphericity,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
57,cheap__v3__geom_eccentricity,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_eccentricity,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
58,cheap__v3__geom_inertial_shape,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_inertial_shape,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
59,cheap__v3__geom_spherocity,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__geom_spherocity,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
60,cheap__v3__charge_geom_ok,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__charge_geom_ok,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
61,cheap__v3__gast3d_dipole_norm,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,debye,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast3d_dipole_norm,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
62,cheap__v3__gast3d_dipole_norm_heavy,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,debye,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast3d_dipole_norm_heavy,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
63,cheap__v3__gast3d_pos_neg_center_dist,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast3d_pos_neg_center_dist,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,True,True,False
64,cheap__v3__gast3d_abs_charge_weighted_rg,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,angstrom_or_derived,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast3d_abs_charge_weighted_rg,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,True,True,True
65,cheap__v3__gast3d_maxpos_maxneg_dist,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast3d_maxpos_maxneg_dist,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
66,cheap__v3__gast3d_dipole_per_abs_charge,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,debye,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast3d_dipole_per_abs_charge,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,True,True,False
67,cheap__v3__gast3d_dipole_per_heavy_atom,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,debye,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__gast3d_dipole_per_heavy_atom,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
68,cheap__v3__rd2d_MaxAbsEStateIndex,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MaxAbsEStateIndex,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
69,cheap__v3__rd2d_MaxEStateIndex,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MaxEStateIndex,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
70,cheap__v3__rd2d_MinAbsEStateIndex,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MinAbsEStateIndex,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
71,cheap__v3__rd2d_MinEStateIndex,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MinEStateIndex,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
72,cheap__v3__rd2d_qed,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_qed,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
73,cheap__v3__rd2d_SPS,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_SPS,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
74,cheap__v3__rd2d_MolWt,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MolWt,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
75,cheap__v3__rd2d_HeavyAtomMolWt,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_HeavyAtomMolWt,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
76,cheap__v3__rd2d_ExactMolWt,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_ExactMolWt,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
77,cheap__v3__rd2d_NumValenceElectrons,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_NumValenceElectrons,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,True
78,cheap__v3__rd2d_NumRadicalElectrons,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_NumRadicalElectrons,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
79,cheap__v3__rd2d_MaxPartialCharge,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MaxPartialCharge,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
80,cheap__v3__rd2d_MinPartialCharge,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MinPartialCharge,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
81,cheap__v3__rd2d_MaxAbsPartialCharge,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MaxAbsPartialCharge,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
82,cheap__v3__rd2d_MinAbsPartialCharge,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_MinAbsPartialCharge,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,True,True,False
83,cheap__v3__rd2d_FpDensityMorgan1,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_FpDensityMorgan1,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
84,cheap__v3__rd2d_FpDensityMorgan2,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_FpDensityMorgan2,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
85,cheap__v3__rd2d_FpDensityMorgan3,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_FpDensityMorgan3,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
86,cheap__v3__rd2d_BCUT2D_MWHI,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_MWHI,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
87,cheap__v3__rd2d_BCUT2D_MWLOW,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_MWLOW,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,True
88,cheap__v3__rd2d_BCUT2D_CHGHI,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_CHGHI,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
89,cheap__v3__rd2d_BCUT2D_CHGLO,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_CHGLO,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
90,cheap__v3__rd2d_BCUT2D_LOGPHI,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_LOGPHI,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
91,cheap__v3__rd2d_BCUT2D_LOGPLOW,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_LOGPLOW,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
92,cheap__v3__rd2d_BCUT2D_MRHI,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_MRHI,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
93,cheap__v3__rd2d_BCUT2D_MRLOW,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BCUT2D_MRLOW,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,51,0.0008410151548,False,False,False
94,cheap__v3__rd2d_AvgIpc,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_AvgIpc,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
95,cheap__v3__rd2d_BalabanJ,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BalabanJ,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,False,False,False
96,cheap__v3__rd2d_BertzCT,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_BertzCT,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,False
97,cheap__v3__rd2d_Chi0,feature,cheap_rdkit_gasteiger_etkdg_mmff,float32,descriptor_specific_or_dimensionless,cheap_rdkit_gasteiger_etkdg_mmff feature: v3__rd2d_Chi0,Local RDKit/Gasteiger/ETKDG/MMFF batch calculation,empty field in CSV,0,0,True,True,True
